ticker,company,fiscal_year,revenue,cogs,receivables,current_assets,ppe,total_assets,depreciation,sga_expense,current_liabilities,long_term_debt,ebit,net_income,cash_flow_ops,retained_earnings,market_value_equity,total_liabilities,is_aaer_fraud_case,altman_x1_wc_ta,altman_x2_re_ta,altman_x3_ebit_ta,altman_x4_mve_tl,altman_x5_sales_ta,altman_z_score,altman_zone,beneish_dsri,beneish_gmi,beneish_aqi,beneish_sgi,beneish_depi,beneish_sgai,beneish_lvgi,beneish_tata,beneish_m_score,beneish_manipulator
GOOGL,Alphabet Inc.,2023,307394.0,133332.0,44962.0,177699.0,127926.0,402392.0,14251.0,44342.0,76606.0,13253.0,115469.0,73795.0,101746.0,214580.0,1750000.0,119050.0,False,0.2512,0.5333,0.287,14.6997,0.7639,11.5787,safe,1.0276,0.978,0.9982,1.0868,1.1937,0.9647,0.971,-0.0695,-2.6766,False
TCS,Tata Consultancy Services Ltd,2021,22200.0,12800.0,4100.0,14200.0,2800.0,18500.0,550.0,2900.0,4600.0,0.0,5950.0,4400.0,5200.0,11800.0,165000.0,5100.0,False,0.5189,0.6378,0.3216,32.3529,1.2,23.1888,safe,,,,,,,,,,
TCS,Tata Consultancy Services Ltd,2022,25700.0,14900.0,4600.0,15800.0,3100.0,20800.0,620.0,3300.0,5200.0,0.0,6880.0,5100.0,5900.0,13400.0,172000.0,5800.0,False,0.5096,0.6442,0.3308,29.6552,1.2356,21.6337,safe,0.9692,1.0076,1.1266,1.1577,0.9851,0.983,1.0054,-0.0385,-2.4931,False
TCS,Tata Consultancy Services Ltd,2023,27900.0,16200.0,4900.0,16900.0,3400.0,22400.0,680.0,3600.0,5600.0,0.0,7420.0,5400.0,6300.0,14900.0,180000.0,6200.0,False,0.5045,0.6652,0.3312,29.0323,1.2455,21.2946,safe,0.9812,1.0021,1.0263,1.0856,1.0,1.0049,1.0,-0.0402,-2.598,False
RELIANCE,Reliance Industries Ltd,2021,66000.0,44000.0,2600.0,32000.0,72000.0,142000.0,3600.0,6800.0,41000.0,35000.0,11600.0,7200.0,11400.0,58000.0,195000.0,79000.0,False,-0.0634,0.4085,0.0817,2.4684,0.4648,2.7112,grey,,,,,,,,,,
RELIANCE,Reliance Industries Ltd,2022,94000.0,66000.0,3800.0,38000.0,86000.0,168000.0,4100.0,8500.0,52000.0,42000.0,15400.0,8800.0,14800.0,68000.0,225000.0,97000.0,False,-0.0833,0.4048,0.0917,2.3196,0.5595,2.7204,grey,1.0262,1.119,0.9787,1.4242,1.0465,0.8777,1.0454,-0.0357,-2.1788,True
RELIANCE,Reliance Industries Ltd,2023,108000.0,76000.0,4400.0,44000.0,98000.0,192000.0,4900.0,9900.0,59000.0,48000.0,17200.0,9200.0,16200.0,78000.0,240000.0,110000.0,False,-0.0781,0.4062,0.0896,2.1818,0.5625,2.6422,grey,1.0078,1.0053,0.9943,1.1489,0.9556,1.0137,0.996,-0.0365,-2.5162,False
ENRN,Enron Corporation,2021,100789.0,85240.0,9500.0,15400.0,24000.0,65500.0,1800.0,8900.0,14200.0,18500.0,4849.0,979.0,-120.0,3200.0,60000.0,32700.0,True,0.0183,0.0489,0.074,1.8349,1.5388,2.9744,grey,,,,,,,,,,
ENRN,Enron Corporation,2022,100789.0,91240.0,18500.0,12400.0,21000.0,65500.0,1500.0,9100.0,22200.0,24500.0,-1051.0,1200.0,-2400.0,4400.0,40000.0,46700.0,True,-0.1496,0.0672,-0.016,0.8565,1.5388,1.9142,grey,1.9474,1.6283,1.2299,1.0,1.0465,1.0225,1.4281,0.055,-1.0651,True
ENRN,Enron Corporation,2023,100789.0,99240.0,31500.0,8400.0,18000.0,65500.0,1100.0,9800.0,38200.0,34500.0,-9351.0,1500.0,-4500.0,5900.0,1200.0,72700.0,True,-0.455,0.0901,-0.1428,0.0165,1.5388,0.6577,distress,1.7027,6.1646,1.2181,1.0,1.1576,1.0769,1.5567,0.0916,1.233,True
WCOM,WorldCom Inc.,2021,35000.0,22000.0,4500.0,8000.0,35000.0,45000.0,2000.0,7000.0,6000.0,18000.0,4000.0,1500.0,3200.0,2000.0,40000.0,24000.0,True,0.0444,0.0444,0.0889,1.6667,0.7778,2.1867,grey,,,,,,,,,,
WCOM,WorldCom Inc.,2022,39000.0,24000.0,8500.0,12000.0,39000.0,53000.0,800.0,6500.0,9500.0,22000.0,7700.0,2100.0,500.0,4100.0,18000.0,31500.0,True,0.0472,0.0774,0.1453,0.5714,0.7358,1.723,distress,1.6952,0.9657,0.8491,1.1143,2.6892,0.8333,1.1144,0.0302,-1.4908,True
WCOM,WorldCom Inc.,2023,32000.0,26000.0,14000.0,7000.0,42000.0,51000.0,600.0,6000.0,16000.0,30000.0,-600.0,-1200.0,-2100.0,2900.0,2500.0,46000.0,True,-0.1765,0.0569,-0.0118,0.0543,0.6275,0.4891,distress,2.0074,2.0513,1.0392,0.8205,1.4271,1.125,1.5176,0.0176,-1.2015,True
TYCO,Tyco International Ltd,2021,28000.0,17500.0,4200.0,11000.0,18000.0,42000.0,1400.0,5100.0,8500.0,14000.0,4000.0,2200.0,2400.0,6500.0,38000.0,22500.0,True,0.0595,0.1548,0.0952,1.6889,0.6667,2.2824,grey,,,,,,,,,,
TYCO,Tyco International Ltd,2022,36000.0,21000.0,9200.0,16000.0,23000.0,58000.0,1200.0,6800.0,14000.0,22000.0,7000.0,3100.0,1100.0,9600.0,32000.0,36000.0,True,0.0345,0.1655,0.1207,0.8889,0.6207,1.8254,grey,1.7037,0.9,1.0584,1.2857,1.4553,1.037,1.1586,0.0345,-1.4515,True
TYCO,Tyco International Ltd,2023,38000.0,24500.0,13800.0,15000.0,25000.0,64000.0,1300.0,7500.0,19000.0,28000.0,4700.0,1800.0,-400.0,11400.0,15000.0,47000.0,True,-0.0625,0.1781,0.0734,0.3191,0.5938,1.202,distress,1.4211,1.1728,1.1447,1.0556,1.0032,1.0449,1.1832,0.0344,-1.7998,True
HLTH,HealthSouth Corporation,2021,4200.0,2400.0,750.0,1800.0,3800.0,6200.0,220.0,850.0,1100.0,2800.0,730.0,410.0,380.0,950.0,7500.0,3900.0,True,0.1129,0.1532,0.1177,1.9231,0.6774,2.5698,grey,,,,,,,,,,
HLTH,HealthSouth Corporation,2022,4600.0,2550.0,1450.0,2400.0,4400.0,7500.0,190.0,920.0,1650.0,3400.0,940.0,620.0,120.0,1570.0,5200.0,5050.0,True,0.1,0.2093,0.1253,1.0297,0.6133,2.0578,grey,1.7652,0.9617,0.9644,1.0952,1.3221,0.9882,1.0704,0.0667,-1.3977,True
HLTH,HealthSouth Corporation,2023,4900.0,2700.0,2200.0,2100.0,4900.0,8100.0,160.0,1050.0,2300.0,4200.0,990.0,780.0,-350.0,2350.0,1800.0,6500.0,True,-0.0247,0.2901,0.1222,0.2769,0.6049,1.551,distress,1.4243,0.9926,1.455,1.0652,1.3091,1.0714,1.1918,0.1395,-1.2382,True
REV,Revlon Inc.,2021,2078.0,876.0,340.0,980.0,320.0,2450.0,110.0,980.0,1450.0,3310.0,112.0,-206.0,-45.0,-2850.0,620.0,4760.0,False,-0.1918,-1.1633,0.0457,0.1303,0.8482,-0.7816,distress,,,,,,,,,,
REV,Revlon Inc.,2022,1980.0,890.0,380.0,890.0,290.0,2280.0,98.0,1020.0,1680.0,3650.0,-28.0,-410.0,-160.0,-3260.0,180.0,5330.0,False,-0.3465,-1.4298,-0.0123,0.0338,0.8684,-1.5694,distress,1.173,1.0507,1.0278,0.9528,1.0128,1.0923,1.2032,-0.1096,-2.9188,False
REV,Revlon Inc.,2023,1820.0,860.0,410.0,750.0,260.0,2100.0,88.0,990.0,1920.0,3900.0,-118.0,-580.0,-290.0,-3840.0,45.0,5820.0,False,-0.5571,-1.8286,-0.0562,0.0077,0.8667,-2.5427,distress,1.1738,1.0437,1.0758,0.9192,0.9988,1.0559,1.1855,-0.1381,-3.0551,False
BBBY,Bed Bath & Beyond Inc.,2021,7868.0,5230.0,280.0,2150.0,850.0,5120.0,240.0,2680.0,2210.0,1180.0,-282.0,-560.0,-340.0,820.0,1450.0,4680.0,False,-0.0117,0.1602,-0.0551,0.3098,1.5367,1.751,distress,,,,,,,,,,
BBBY,Bed Bath & Beyond Inc.,2022,5340.0,4120.0,220.0,1420.0,680.0,4400.0,210.0,2450.0,2680.0,1730.0,-1440.0,-1540.0,-520.0,-720.0,420.0,5120.0,False,-0.2864,-0.1636,-0.3273,0.082,1.2136,-0.3899,distress,1.1577,1.4675,1.2624,0.6787,0.9332,1.347,1.5138,-0.2318,-3.5887,False
BBBY,Bed Bath & Beyond Inc.,2023,3820.0,3240.0,160.0,890.0,450.0,3200.0,160.0,2100.0,2950.0,2100.0,-1680.0,-2180.0,-780.0,-2900.0,35.0,5050.0,False,-0.6438,-0.9062,-0.525,0.0069,1.1938,-2.5758,distress,1.0167,1.5047,1.112,0.7154,0.8996,1.1982,1.5745,-0.4375,-4.6874,False
NKLA,Nikola Corporation,2021,0.2,8.5,0.1,522.0,218.0,890.0,12.0,285.0,88.0,25.0,-305.3,-690.0,-303.0,-1250.0,4100.0,142.0,False,0.4876,-1.4045,-0.343,28.8732,0.0002,14.811,safe,,,,,,,,,,
NKLA,Nikola Corporation,2022,50.8,155.0,12.4,385.0,410.0,1050.0,28.0,312.0,195.0,290.0,-444.2,-784.0,-540.0,-2034.0,1100.0,620.0,False,0.181,-1.9371,-0.423,1.7742,0.0484,-2.778,distress,0.4882,20.2322,1.441,254.0,0.8161,0.0043,3.638,-0.2324,231.2581,True
NKLA,Nikola Corporation,2023,35.8,214.0,8.2,465.0,480.0,1210.0,42.0,298.0,285.0,490.0,-518.2,-966.0,-620.0,-3000.0,850.0,910.0,False,0.1488,-2.4793,-0.4283,0.9341,0.0296,-4.1158,distress,0.9384,0.4121,0.9018,0.7047,0.7945,1.3553,1.3866,-0.286,-4.6993,False
